"Inbound No","STO No","ASN No","Inbound Location","PO No","GRN No","Created Date","GRN Date","Material Received Date","GRN Value","Inbound Type","Invoice No","Vendor Code","SKU Code","SKU Name","Lot Code","Transporter Name","Tracking No","Lot MRP","Lot Expiry","Bin Location","Unit Price","MRP","Recieved Qty","Expected Qty","Lottable 03","Lottable 04","Lottable 05","Lottable 06","Lottable 07","Vendor SKU Code","Brand","Damage Qty","Putaway Done","GRN Value Without Tax","GRN Value With Tax","IgpCode ","INBD_COST","Open Qty","Status","TaxGrpCode","LineTaxamount","External PO Code","Userid","Cust Ret No"
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7077","MAYA SUGAR MEDIUM 2 KG","SDL000005784","","","131","22/03/2023 12:00 AM","PR-DAMAGE","82.91900","121.00000","1.000","225.000","","","","","","7077","Default","0.000","No","82.92","87.07","SDL000001109","82.92000","0.000","Confirmed","5003","4.15","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7009","MAYA CHANA BROWN 500G","SDL000005755","","","56","19/09/2022 12:00 AM","STAGING","37.45900","60.00000","60.000","60.000","","","","","","7009","B1","0.000","No","2247.60","2247.60","SDL000001109","37.46000","0.000","Confirmed","5001","0.00","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7104","MAYA WHO SPICE SAUNF SMALL 100G","SDL000005811","","","45","22/09/2022 12:00 AM","STAGING","39.32600","24.00000","50.000","50.000","","","","","","7104","Default","0.000","No","1433.50","1505.18","SDL000001109","28.67000","0.000","Confirmed","5003","71.68","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7036","MAYA BAJRA 1 KG","SDL000005678","","","59","11/09/2022 12:00 AM","PR-DAMAGE","39.56400","46.00000","2.000","60.000","","","","","","7036","B1","0.000","No","79.12","79.12","SDL000001109","39.56000","0.000","Confirmed","5001","0.00","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7086","MAYA WHO SPICE BIG SAUNF 200G","SDL000005704","","","73","22/09/2022 12:00 AM","STAGING","46.10700","56.00000","50.000","50.000","","","","","","7086","Default","0.000","No","2305.50","2420.78","SDL000001109","46.11000","0.000","Confirmed","5003","115.28","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7146","MAYA SPICE EATING SODA 100G","SDL000005768","","","16","22/09/2022 12:00 AM","STAGING","9.81100","16.00000","50.000","50.000","","","","","","7146","Default","0.000","No","465.50","521.36","SDL000001109","9.31000","0.000","Confirmed","5004","55.86","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7099","MAYA WHO SPICE CHILLI WITH STEM 100G","SDL000005653","","","46","22/09/2022 12:00 AM","STAGING","29.37900","53.00000","90.000","90.000","","","","","","7099","Default","0.000","No","2644.20","2776.41","SDL000001109","29.38000","0.000","Confirmed","5003","132.21","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7012","MAYA MASOOR DAL 500G","SDL000005747","","","79","11/09/2022 12:00 AM","STAGING","102.69000","71.00000","60.000","60.000","","","","","","7012","B1","0.000","No","3157.80","3157.80","SDL000001109","52.63000","0.000","Confirmed","5001","0.00","PGN1341","Inbound1",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7051","MAYA GROUNDNUT 1KG","SDL000005794","","","200","11/09/2022 12:00 AM","STAGING","132.88900","173.00000","40.000","60.000","","","","","","7051","Default","0.000","No","5315.56","5581.34","SDL000001109","132.88900","0.000","Confirmed","5003","265.78","PGN1341","Inbound2",""
"SDL000001118","","","Scootsy SDL Delhivery","SDL1270","SDL000001110","28/03/2022 11:50 AM","28/03/2022 05:47 PM","28/03/2022 12:00 AM","414313.00","With PO","21-22/0404","1N60003445 - MAYA AGROVET","7018","MAYA TOOR DAL PREMIUM 500G","SDL000005760","","","85","19/09/2022 12:00 AM","STAGING","56.55800","85.00000","60.000","60.000","","","","","","7018","B1","0.000","No","3393.60","3393.60","SDL000001109","56.56000","0.000","Confirmed","5001","0.00","PGN1341","Inbound1",""
